Race/Ethnicity,Group,Year,Sex,County,Polk,Site,Cancer,SE,Lower CI,Upper CI,Count,Rate~Ratio,Ratio~Lower CI,Ratio~Upper CI,p,Pop,Sig
Non-Hispanic White,White,2008-2012,Female,IA: Polk County (19153),Polk County,Breast,137.1,3.7,129.9,144.6,"1,409",,,,,"906,664",
Non-Hispanic Black,Black,2008-2012,Female,IA: Polk County (19153),Polk County,Breast,111.6,15.6,83.1,146.2,53,0.814,0.6029,1.0731,0.1540,"70,892",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Female,IA: Polk County (19153),Polk County,Breast,87.0,50.3,17.9,318.2,3,0.6344,0.1304,2.3257,0.8300,"3,049",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Female,IA: Polk County (19153),Polk County,Breast,55.6,14.3,31.3,91.6,17,0.4057,0.2275,0.6703,0.0001,"42,666",1
Hispanic (All Races),Hispanic,2008-2012,Female,IA: Polk County (19153),Polk County,Breast,97.7,17.7,66.1,139.4,38,0.713,0.4803,1.0215,0.0671,"78,067",0
Non-Hispanic White,White,2013-2017,Female,IA: Polk County (19153),Polk County,Breast,130.5,3.5,123.7,137.6,"1,450",,,,,"944,153",
Non-Hispanic Black,Black,2013-2017,Female,IA: Polk County (19153),Polk County,Breast,131.3,16.2,101.5,166.8,73,1.0062,0.7734,1.2862,0.9962,"84,226",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Female,IA: Polk County (19153),Polk County,Breast,192.1,120.9,32.3,788.2,3,1.4723,0.2475,6.0499,0.7196,"2,796",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Female,IA: Polk County (19153),Polk County,Breast,100.9,18.5,67.9,143.6,35,0.7732,0.5185,1.1053,0.1731,"55,877",0
Hispanic (All Races),Hispanic,2013-2017,Female,IA: Polk County (19153),Polk County,Breast,87.5,16.2,58.6,125.2,40,0.6704,0.4474,0.9641,0.0293,"95,654",1
Non-Hispanic White,White,2018-2022,Female,IA: Polk County (19153),Polk County,Breast,145.2,3.6,138.2,152.5,"1,747",,,,,"961,450",
Non-Hispanic Black,Black,2018-2022,Female,IA: Polk County (19153),Polk County,Breast,162.1,17.8,129.2,200.5,97,1.1165,0.8847,1.3891,0.3553,"96,458",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Female,IA: Polk County (19153),Polk County,Breast,328.7,189.8,67.8,935.2,3,2.2634,0.4662,6.4507,0.2981,"2,668",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Female,IA: Polk County (19153),Polk County,Breast,82.3,13.6,57.8,113.9,42,0.5669,0.3966,0.7876,0.0003,"65,922",1
Hispanic (All Races),Hispanic,2018-2022,Female,IA: Polk County (19153),Polk County,Breast,117.7,17.4,86.1,156.5,68,0.8108,0.5907,1.083,0.1663,"115,855",0
Non-Hispanic White,White,2003-2007,Female,Not Polk,Not Polk,Breast,123.1,1.3,120.5,125.7,"9,309",,,,,"6,039,043",
Non-Hispanic Black,Black,2003-2007,Female,Not Polk,Not Polk,Breast,122.8,12.9,98.8,150.5,96,0.9979,0.8021,1.2245,1.0000,"139,140",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Female,Not Polk,Not Polk,Breast,63.1,18.7,31.9,117.4,12,0.5128,0.2591,0.9543,0.0316,"21,143",1
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Female,Not Polk,Not Polk,Breast,51.3,9.5,34.3,75.5,32,0.4166,0.2788,0.6141,0.0000,"86,766",1
Hispanic (All Races),Hispanic,2003-2007,Female,Not Polk,Not Polk,Breast,50.2,7.6,36.4,67.3,51,0.4079,0.2956,0.5475,0.0000,"215,730",1
Non-Hispanic White,White,2008-2012,Female,Not Polk,Not Polk,Breast,123.1,1.3,120.5,125.7,"9,597",,,,,"6,012,507",
Non-Hispanic Black,Black,2008-2012,Female,Not Polk,Not Polk,Breast,122.0,11.9,99.7,147.4,115,0.991,0.8091,1.1992,0.9594,"171,962",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Female,Not Polk,Not Polk,Breast,119.1,26.8,72.4,186.1,22,0.9678,0.5882,1.5131,1.0000,"22,076",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Female,Not Polk,Not Polk,Breast,67.6,10.1,49.3,91,50,0.5496,0.4,0.7397,0.0000,"107,347",1
Hispanic (All Races),Hispanic,2008-2012,Female,Not Polk,Not Polk,Breast,59.9,6.9,47.2,74.9,90,0.4868,0.3831,0.6094,0.0000,"281,722",1
Non-Hispanic White,White,2013-2017,Female,Not Polk,Not Polk,Breast,132.6,1.4,129.9,135.3,"10,400",,,,,"5,956,550",
Non-Hispanic Black,Black,2013-2017,Female,Not Polk,Not Polk,Breast,111.4,10.3,92.1,133.2,129,0.84,0.6939,1.0059,0.0584,"210,218",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Female,Not Polk,Not Polk,Breast,128.5,26.2,82.4,191.4,26,0.9693,0.6208,1.444,0.9827,"23,331",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Female,Not Polk,Not Polk,Breast,89.9,9.9,71.6,111.5,91,0.6782,0.5396,0.8419,0.0002,"143,779",1
Hispanic (All Races),Hispanic,2013-2017,Female,Not Polk,Not Polk,Breast,68.2,6.3,56.4,81.7,134,0.5142,0.4247,0.6167,0.0000,"343,274",1
Non-Hispanic White,White,2018-2022,Female,Not Polk,Not Polk,Breast,138.9,1.4,136.1,141.7,"11,079",,,,,"5,869,523",
Non-Hispanic Black,Black,2018-2022,Female,Not Polk,Not Polk,Breast,126.2,9.7,107.9,146.6,184,0.9088,0.7756,1.0573,0.2246,"253,145",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Female,Not Polk,Not Polk,Breast,125.7,23.2,84.4,180.5,31,0.9054,0.6071,1.3006,0.6736,"25,206",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Female,Not Polk,Not Polk,Breast,99.6,9.4,82.1,119.7,124,0.7175,0.5907,0.8631,0.0003,"165,911",1
Hispanic (All Races),Hispanic,2018-2022,Female,Not Polk,Not Polk,Breast,65.7,5.4,55.5,77.1,165,0.4728,0.3993,0.5557,0.0000,"402,384",1
Non-Hispanic White,White,2003-2007,Male,IA: Polk County (19153),Polk County,Prostate,122.6,4.1,114.6,131,917,,,,,"817,157",
Non-Hispanic Black,Black,2003-2007,Male,IA: Polk County (19153),Polk County,Prostate,240.3,30.3,184.6,306.6,70,1.96,1.4926,2.525,0.0000,"57,878",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Male,IA: Polk County (19153),Polk County,Prostate,81.8,81.8,2.1,431.8,1,0.6672,0.0169,3.5298,0.9131,"2,859",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Male,IA: Polk County (19153),Polk County,Prostate,108.2,35.9,49.7,198,14,0.8824,0.4041,1.6221,0.7536,"33,249",0
Hispanic (All Races),Hispanic,2003-2007,Male,IA: Polk County (19153),Polk County,Prostate,169.0,38.4,102.3,261,21,1.3779,0.8301,2.1413,0.2121,"64,203",0
Non-Hispanic White,White,2008-2012,Male,IA: Polk County (19153),Polk County,Prostate,125.9,4,118.2,133.9,"1,078",,,,,"858,098",
Non-Hispanic Black,Black,2008-2012,Male,IA: Polk County (19153),Polk County,Prostate,189.1,23.9,145.2,241.6,72,1.5018,1.1444,1.9355,0.0038,"72,531",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Male,IA: Polk County (19153),Polk County,Prostate,152.1,126.2,10.2,562.5,2,1.208,0.0811,4.4781,1.0000,"2,758",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Male,IA: Polk County (19153),Polk County,Prostate,56.9,28.8,15.2,132.4,8,0.4523,0.1204,1.0545,0.0690,"41,086",0
Hispanic (All Races),Hispanic,2008-2012,Male,IA: Polk County (19153),Polk County,Prostate,53.4,16.7,25.8,96.5,12,0.4239,0.2046,0.7694,0.0026,"86,055",1
Non-Hispanic White,White,2013-2017,Male,IA: Polk County (19153),Polk County,Prostate,97.4,3.2,91.2,104,994,,,,,"902,988",
Non-Hispanic Black,Black,2013-2017,Male,IA: Polk County (19153),Polk County,Prostate,199.4,25.5,152.6,255,84,2.0465,1.5529,2.6415,0.0000,"87,048",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Male,IA: Polk County (19153),Polk County,Prostate,171.3,134.5,14.4,678.8,2,1.7576,0.1473,6.9845,0.7034,"2,289",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Male,IA: Polk County (19153),Polk County,Prostate,59.5,16.8,31.3,101.6,15,0.6103,0.3196,1.0482,0.0777,"55,242",0
Hispanic (All Races),Hispanic,2013-2017,Male,IA: Polk County (19153),Polk County,Prostate,62.7,17.1,33.7,104,18,0.6431,0.3446,1.0729,0.0968,"103,300",0
Non-Hispanic White,White,2018-2022,Male,IA: Polk County (19153),Polk County,Prostate,107.6,3.2,101.5,114,"1,248",,,,,"927,905",
Non-Hispanic Black,Black,2018-2022,Male,IA: Polk County (19153),Polk County,Prostate,240.4,25.8,192.4,296.3,127,2.2346,1.7746,2.7774,0.0000,"102,863",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Male,IA: Polk County (19153),Polk County,Prostate,74.6,74.6,1.9,696.3,1,0.6934,0.0175,6.4819,1.0000,"2,289",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Male,IA: Polk County (19153),Polk County,Prostate,67.7,16.9,38.7,108.3,19,0.6288,0.3585,1.0112,0.0564,"66,340",0
Hispanic (All Races),Hispanic,2018-2022,Male,IA: Polk County (19153),Polk County,Prostate,80.5,15.3,53.4,115.4,37,0.7478,0.4937,1.0786,0.1279,"124,784",0
Non-Hispanic White,White,2003-2007,Male,Not Polk,Not Polk,Prostate,145.0,1.5,142.1,147.9,"9,658",,,,,"5,829,578",
Non-Hispanic Black,Black,2003-2007,Male,Not Polk,Not Polk,Prostate,216.7,20.3,178.8,259.7,139,1.4949,1.2319,1.7936,0.0001,"158,622",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Male,Not Polk,Not Polk,Prostate,132.0,44.3,60.1,252.8,10,0.9106,0.4141,1.7442,0.8974,"19,986",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Male,Not Polk,Not Polk,Prostate,101.4,22.9,61.5,155.2,23,0.6993,0.4242,1.0709,0.1063,"85,399",0
Hispanic (All Races),Hispanic,2003-2007,Male,Not Polk,Not Polk,Prostate,77.2,11.8,55.8,103.3,52,0.5325,0.3849,0.7129,0.0000,"248,052",1
Non-Hispanic White,White,2008-2012,Male,Not Polk,Not Polk,Prostate,127.1,1.3,124.5,129.8,"9,350",,,,,"5,854,720",
Non-Hispanic Black,Black,2008-2012,Male,Not Polk,Not Polk,Prostate,181.3,16.7,150,216.8,150,1.4263,1.1786,1.7075,0.0003,"197,713",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Male,Not Polk,Not Polk,Prostate,150.4,51,67.7,278.6,16,1.1832,0.5325,2.1925,0.7131,"21,165",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Male,Not Polk,Not Polk,Prostate,85.4,17.9,53.9,127.1,32,0.6719,0.4241,1.0004,0.0503,"106,882",0
Hispanic (All Races),Hispanic,2008-2012,Male,Not Polk,Not Polk,Prostate,71.8,9.9,53.7,93.4,66,0.5648,0.4225,0.7351,0.0000,"315,744",1
Non-Hispanic White,White,2013-2017,Male,Not Polk,Not Polk,Prostate,111.8,1.2,109.5,114.2,"9,065",,,,,"5,869,665",
Non-Hispanic Black,Black,2013-2017,Male,Not Polk,Not Polk,Prostate,176.7,13,152.1,204,221,1.58,1.3578,1.8278,0.0000,"244,333",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Male,Not Polk,Not Polk,Prostate,114.2,28.8,64.9,185.8,19,1.0209,0.5804,1.6623,1.0000,"22,541",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Male,Not Polk,Not Polk,Prostate,28.3,6.8,16.5,45.2,19,0.2528,0.1477,0.404,0.0000,"147,414",1
Hispanic (All Races),Hispanic,2013-2017,Male,Not Polk,Not Polk,Prostate,73.0,8.4,57.5,90.9,99,0.6526,0.5134,0.8142,0.0001,"377,294",1
Non-Hispanic White,White,2018-2022,Male,Not Polk,Not Polk,Prostate,129.9,1.3,127.5,132.4,"11,326",,,,,"5,831,071",
Non-Hispanic Black,Black,2018-2022,Male,Not Polk,Not Polk,Prostate,221.1,13.3,195.8,248.7,332,1.7017,1.5045,1.9171,0.0000,"293,761",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Male,Not Polk,Not Polk,Prostate,123.0,27.8,74.7,188.9,22,0.9463,0.5746,1.4545,0.8836,"24,139",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Male,Not Polk,Not Polk,Prostate,51.1,10.1,33.3,74.1,35,0.3936,0.2559,0.5704,0.0000,"170,572",1
Hispanic (All Races),Hispanic,2018-2022,Male,Not Polk,Not Polk,Prostate,68.1,6.7,55.6,82.3,131,0.524,0.4272,0.6342,0.0000,"441,297",1
Non-Hispanic White,White,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,11.7,0.8,10.1,13.4,202,,,,,"1,689,105",
Non-Hispanic Black,Black,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,10.1,3.6,4.3,20,8,0.8644,0.362,1.7396,0.8298,"115,761",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,16.2,16.2,0.4,147.9,1,1.3861,0.0349,12.7777,1.0000,"5,859",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,4.7,2.8,0.9,18.2,3,0.3986,0.0767,1.5786,0.3072,"67,567",0
Hispanic (All Races),Hispanic,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,6.4,4,1.1,21.3,3,0.5506,0.0929,1.8472,0.4816,"120,193",0
Non-Hispanic White,White,2003-2007,Male,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,17.1,1.5,14.2,20.3,133,,,,,"817,157",
Non-Hispanic Black,Black,2003-2007,Male,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,18.7,7.3,7.3,40.2,7,1.0976,0.4188,2.4233,0.9286,"57,878",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Male,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,33.4,33.4,0.8,315.7,1,1.9539,0.0491,18.7756,0.8048,"2,859",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Male,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,2.5,2.5,0.1,35.6,1,0.1478,0.0037,2.1124,0.3167,"33,249",0
Hispanic (All Races),Hispanic,2003-2007,Male,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,10.6,7.9,1.1,49.6,2,0.623,0.0644,2.9543,0.7780,"64,203",0
Non-Hispanic White,White,2003-2007,Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,7.2,0.9,5.6,9.1,69,,,,,"871,948",
Non-Hispanic Black,Black,2003-2007,Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,2.1,2.1,0.1,12.1,1,0.2969,0.0074,1.7376,0.3165,"57,883",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,0.0,,0,325.2,0,0,0,46.3377,1.0000,"3,000",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,6.7,4.8,0.8,30,2,0.9309,0.1033,4.3334,1.0000,"34,318",0
Hispanic (All Races),Hispanic,2003-2007,Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,2.7,2.7,0.1,22.4,1,0.3796,0.0095,3.2232,0.7352,"55,990",0
Non-Hispanic White,White,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,12.2,0.8,10.6,13.9,232,,,,,"1,764,762",
Non-Hispanic Black,Black,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,7.9,3.3,2.8,17,6,0.6499,0.2271,1.4157,0.3436,"143,423",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,0.0,,0,104.5,0,0,0,8.6511,1.0000,"5,807",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,5.5,2.8,1.4,16.3,4,0.4506,0.1142,1.3549,0.2224,"83,752",0
Hispanic (All Races),Hispanic,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,4.3,2.7,0.7,14.5,3,0.3539,0.0579,1.2033,0.1203,"164,122",0
Non-Hispanic White,White,2008-2012,Male,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,18.0,1.5,15.3,21.1,160,,,,,"858,098",
Non-Hispanic Black,Black,2008-2012,Male,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,13.3,6.2,4,32.2,5,0.7365,0.2194,1.8247,0.6572,"72,531",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Male,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,0.0,,0,233.8,0,0,0,13.1123,1.0000,"2,758",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Male,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,8.9,5.4,1.6,36.9,3,0.4964,0.0899,2.0785,0.5301,"41,086",0
Hispanic (All Races),Hispanic,2008-2012,Male,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,6.9,5.4,0.6,30.5,2,0.3836,0.0323,1.7177,0.3129,"86,055",0
Non-Hispanic White,White,2008-2012,Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,7.2,0.9,5.6,9.1,72,,,,,"906,664",
Non-Hispanic Black,Black,2008-2012,Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,3.0,3,0.1,13.8,1,0.4121,0.0103,1.9752,0.4123,"70,892",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,0.0,,0,203.8,0,0,0,29.0041,1.0000,"3,049",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,2.7,2.7,0.1,19.1,1,0.3807,0.0095,2.7348,0.6592,"42,666",0
Hispanic (All Races),Hispanic,2008-2012,Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,2.1,2.1,0.1,16.9,1,0.2925,0.0073,2.4184,0.4892,"78,067",0
Non-Hispanic White,White,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,12.4,0.8,10.9,14,271,,,,,"1,847,141",
Non-Hispanic Black,Black,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,9.5,3.4,4.1,18.5,10,0.7655,0.3245,1.5085,0.5314,"171,274",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,42.3,42.3,1.1,260.2,1,3.4058,0.0859,21.1199,0.5105,"5,085",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,14.1,5.7,5.3,29.4,9,1.1381,0.4217,2.3971,0.8649,"111,119",0
Hispanic (All Races),Hispanic,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,2.8,1.8,0.4,10.4,3,0.2237,0.0333,0.8449,0.0194,"198,954",1
Non-Hispanic White,White,2013-2017,Male,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,20.2,1.5,17.4,23.3,204,,,,,"902,988",
Non-Hispanic Black,Black,2013-2017,Male,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,12.4,5.2,4.4,28.7,7,0.6163,0.2149,1.4456,0.3533,"87,048",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Male,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,114.2,114.2,2.9,594.2,1,5.6554,0.1424,29.7541,0.3257,"2,289",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Male,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,20.7,10.8,5.2,52.6,6,1.0264,0.2552,2.6432,1.0000,"55,242",0
Hispanic (All Races),Hispanic,2013-2017,Male,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,0.6,0.6,0,14.3,1,0.032,0.0008,0.7147,0.0139,"103,300",1
Non-Hispanic White,White,2013-2017,Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,5.8,0.7,4.4,7.4,67,,,,,"944,153",
Non-Hispanic Black,Black,2013-2017,Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,5.7,3.5,1,17,3,0.99,0.1696,3.0804,1.0000,"84,226",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,0.0,,0,555.7,0,0,0,98.3929,1.0000,"2,796",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,9.1,6.1,1.3,28.7,3,1.5769,0.2157,5.1865,0.7080,"55,877",0
Hispanic (All Races),Hispanic,2013-2017,Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,5.1,3.8,0.6,20.2,2,0.8907,0.0949,3.6389,1.0000,"95,654",0
Non-Hispanic White,White,2018-2022,Male and Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,15.3,0.8,13.7,17,362,,,,,"1,889,355",
Non-Hispanic Black,Black,2018-2022,Male and Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,16.6,4.6,8.9,27.9,18,1.09,0.575,1.8544,0.8402,"199,321",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Male and Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,0.0,,0,497.9,0,0,0,32.7352,0.9382,"4,957",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Male and Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,16.3,5.2,7.8,29.8,13,1.0708,0.5032,1.9742,0.9244,"132,262",0
Hispanic (All Races),Hispanic,2018-2022,Male and Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,11.1,4.5,4.1,22.8,9,0.7271,0.2681,1.5094,0.4538,"240,639",0
Non-Hispanic White,White,2018-2022,Male,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,24.7,1.5,21.7,27.9,274,,,,,"927,905",
Non-Hispanic Black,Black,2018-2022,Male,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,27.7,10.1,11.6,54.1,13,1.1228,0.4637,2.2227,0.8593,"102,863",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Male,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,0.0,,0,612.5,0,0,0,24.9543,1.0000,"2,289",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Male,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,23.4,9.9,8.2,50.8,7,0.9465,0.3278,2.0867,1.0000,"66,340",0
Hispanic (All Races),Hispanic,2018-2022,Male,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,8.6,4.7,2,23.6,4,0.3502,0.0807,0.9665,0.0407,"124,784",1
Non-Hispanic White,White,2018-2022,Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,7.2,0.8,5.7,8.9,88,,,,,"961,450",
Non-Hispanic Black,Black,2018-2022,Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,8.5,4.3,2.3,21.1,5,1.1874,0.3101,3.0487,0.8907,"96,458",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,0.0,,0,393.8,0,0,0,55.929,1.0000,"2,668",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,11.4,5.3,3.5,27.5,6,1.589,0.4717,3.9861,0.4672,"65,922",0
Hispanic (All Races),Hispanic,2018-2022,Female,IA: Polk County (19153),Polk County,Oral Cavity and Pharynx,13.2,7.3,2.9,33.7,5,1.8361,0.4006,4.8664,0.4393,"115,855",0
Non-Hispanic White,White,2003-2007,Male and Female,Not Polk,Not Polk,Oral Cavity and Pharynx,11.3,0.3,10.7,11.8,"1,629",,,,,"11,868,621",
Non-Hispanic Black,Black,2003-2007,Male and Female,Not Polk,Not Polk,Oral Cavity and Pharynx,14.6,3.3,8.9,22.3,25,1.2945,0.7892,1.9883,0.3054,"297,762",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Male and Female,Not Polk,Not Polk,Oral Cavity and Pharynx,5.7,4,0.7,27.4,2,0.506,0.0612,2.4336,0.6930,"41,129",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Male and Female,Not Polk,Not Polk,Oral Cavity and Pharynx,6.7,3.4,1.8,17.3,5,0.5963,0.162,1.539,0.3747,"172,165",0
Hispanic (All Races),Hispanic,2003-2007,Male and Female,Not Polk,Not Polk,Oral Cavity and Pharynx,3.8,1.7,1.2,8.6,6,0.336,0.1039,0.7682,0.0056,"463,782",1
Non-Hispanic White,White,2003-2007,Male,Not Polk,Not Polk,Oral Cavity and Pharynx,17.3,0.5,16.3,18.3,"1,141",,,,,"5,829,578",
Non-Hispanic Black,Black,2003-2007,Male,Not Polk,Not Polk,Oral Cavity and Pharynx,23.8,6.5,12.9,39.8,19,1.3774,0.7423,2.3168,0.3079,"158,622",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Male,Not Polk,Not Polk,Oral Cavity and Pharynx,6.1,6.1,0.2,72.8,1,0.3513,0.0089,4.2258,0.7453,"19,986",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Male,Not Polk,Not Polk,Oral Cavity and Pharynx,13.4,8.2,2.4,39.5,3,0.777,0.1414,2.2936,0.7922,"85,399",0
Hispanic (All Races),Hispanic,2003-2007,Male,Not Polk,Not Polk,Oral Cavity and Pharynx,5.8,3.1,1.4,15.2,5,0.3359,0.0791,0.8847,0.0223,"248,052",1
