Group,Year,Sex,Polk,Site,Cancer,p
Black,2013-2017,Female,Polk County,Breast,131.30,0.9962
American Indian/Alaska Native,2013-2017,Female,Polk County,Breast,192.10,0.7196
Asian or Pacific Islander,2013-2017,Female,Polk County,Breast,100.90,0.1731
Hispanic,2013-2017,Female,Polk County,Breast,87.50,0.0293
White,2018-2022,Female,Polk County,Breast,145.20,
Black,2018-2022,Female,Polk County,Breast,162.10,0.3553
American Indian/Alaska Native,2018-2022,Female,Polk County,Breast,328.70,0.2981
Asian or Pacific Islander,2018-2022,Female,Polk County,Breast,82.30,0.0003
Hispanic,2018-2022,Female,Polk County,Breast,117.70,0.1663
White,2003-2007,Female,Not Polk,Breast,123.10,
Black,2003-2007,Female,Not Polk,Breast,122.80,1.0000
American Indian/Alaska Native,2003-2007,Female,Not Polk,Breast,63.10,0.0316
Asian or Pacific Islander,2003-2007,Female,Not Polk,Breast,51.30,0.0000
Hispanic,2003-2007,Female,Not Polk,Breast,50.20,0.0000
White,2008-2012,Female,Not Polk,Breast,123.10,
Black,2008-2012,Female,Not Polk,Breast,122.00,0.9594
American Indian/Alaska Native,2008-2012,Female,Not Polk,Breast,119.10,1.0000
Asian or Pacific Islander,2008-2012,Female,Not Polk,Breast,67.60,0.0000
Hispanic,2008-2012,Female,Not Polk,Breast,59.90,0.0000
White,2013-2017,Female,Not Polk,Breast,132.60,
Black,2013-2017,Female,Not Polk,Breast,111.40,0.0584
American Indian/Alaska Native,2013-2017,Female,Not Polk,Breast,128.50,0.9827
Asian or Pacific Islander,2013-2017,Female,Not Polk,Breast,89.90,0.0002
Hispanic,2013-2017,Female,Not Polk,Breast,68.20,0.0000
White,2018-2022,Female,Not Polk,Breast,138.90,
Black,2018-2022,Female,Not Polk,Breast,126.20,0.2246
American Indian/Alaska Native,2018-2022,Female,Not Polk,Breast,125.70,0.6736
Asian or Pacific Islander,2018-2022,Female,Not Polk,Breast,99.60,0.0003
Hispanic,2018-2022,Female,Not Polk,Breast,65.70,0.0000
White,2003-2007,Male,Polk County,Prostate,122.60,
Black,2003-2007,Male,Polk County,Prostate,240.30,0.0000
American Indian/Alaska Native,2003-2007,Male,Polk County,Prostate,81.80,0.9131
Asian or Pacific Islander,2003-2007,Male,Polk County,Prostate,108.20,0.7536
Hispanic,2003-2007,Male,Polk County,Prostate,169.00,0.2121
White,2008-2012,Male,Polk County,Prostate,125.90,
Black,2008-2012,Male,Polk County,Prostate,189.10,0.0038
American Indian/Alaska Native,2008-2012,Male,Polk County,Prostate,152.10,1.0000
Asian or Pacific Islander,2008-2012,Male,Polk County,Prostate,56.90,0.0690
Hispanic,2008-2012,Male,Polk County,Prostate,53.40,0.0026
White,2013-2017,Male,Polk County,Prostate,97.40,
Black,2013-2017,Male,Polk County,Prostate,199.40,0.0000
American Indian/Alaska Native,2013-2017,Male,Polk County,Prostate,171.30,0.7034
Asian or Pacific Islander,2013-2017,Male,Polk County,Prostate,59.50,0.0777
Hispanic,2013-2017,Male,Polk County,Prostate,62.70,0.0968
White,2018-2022,Male,Polk County,Prostate,107.60,
Black,2018-2022,Male,Polk County,Prostate,240.40,0.0000
American Indian/Alaska Native,2018-2022,Male,Polk County,Prostate,74.60,1.0000
Asian or Pacific Islander,2018-2022,Male,Polk County,Prostate,67.70,0.0564
Hispanic,2018-2022,Male,Polk County,Prostate,80.50,0.1279
White,2003-2007,Male,Not Polk,Prostate,145.00,
Black,2003-2007,Male,Not Polk,Prostate,216.70,0.0001
American Indian/Alaska Native,2003-2007,Male,Not Polk,Prostate,132.00,0.8974
Asian or Pacific Islander,2003-2007,Male,Not Polk,Prostate,101.40,0.1063
Hispanic,2003-2007,Male,Not Polk,Prostate,77.20,0.0000
White,2008-2012,Male,Not Polk,Prostate,127.10,
Black,2008-2012,Male,Not Polk,Prostate,181.30,0.0003
American Indian/Alaska Native,2008-2012,Male,Not Polk,Prostate,150.40,0.7131
Asian or Pacific Islander,2008-2012,Male,Not Polk,Prostate,85.40,0.0503
Hispanic,2008-2012,Male,Not Polk,Prostate,71.80,0.0000
White,2013-2017,Male,Not Polk,Prostate,111.80,
Black,2013-2017,Male,Not Polk,Prostate,176.70,0.0000
American Indian/Alaska Native,2013-2017,Male,Not Polk,Prostate,114.20,1.0000
Asian or Pacific Islander,2013-2017,Male,Not Polk,Prostate,28.30,0.0000
Hispanic,2013-2017,Male,Not Polk,Prostate,73.00,0.0001
White,2018-2022,Male,Not Polk,Prostate,129.90,
Black,2018-2022,Male,Not Polk,Prostate,221.10,0.0000
American Indian/Alaska Native,2018-2022,Male,Not Polk,Prostate,123.00,0.8836
Asian or Pacific Islander,2018-2022,Male,Not Polk,Prostate,51.10,0.0000
Hispanic,2018-2022,Male,Not Polk,Prostate,68.10,0.0000
White,2003-2007,Male and Female,Polk County,Oral Cavity and Pharynx,11.70,
Black,2003-2007,Male and Female,Polk County,Oral Cavity and Pharynx,10.10,0.8298
American Indian/Alaska Native,2003-2007,Male and Female,Polk County,Oral Cavity and Pharynx,16.20,1.0000
Asian or Pacific Islander,2003-2007,Male and Female,Polk County,Oral Cavity and Pharynx,4.70,0.3072
Hispanic,2003-2007,Male and Female,Polk County,Oral Cavity and Pharynx,6.40,0.4816
White,2003-2007,Male,Polk County,Oral Cavity and Pharynx,17.10,
Black,2003-2007,Male,Polk County,Oral Cavity and Pharynx,18.70,0.9286
American Indian/Alaska Native,2003-2007,Male,Polk County,Oral Cavity and Pharynx,33.40,0.8048
Asian or Pacific Islander,2003-2007,Male,Polk County,Oral Cavity and Pharynx,2.50,0.3167
Hispanic,2003-2007,Male,Polk County,Oral Cavity and Pharynx,10.60,0.7780
White,2003-2007,Female,Polk County,Oral Cavity and Pharynx,7.20,
Black,2003-2007,Female,Polk County,Oral Cavity and Pharynx,2.10,0.3165
American Indian/Alaska Native,2003-2007,Female,Polk County,Oral Cavity and Pharynx,0.00,1.0000
Asian or Pacific Islander,2003-2007,Female,Polk County,Oral Cavity and Pharynx,6.70,1.0000
Hispanic,2003-2007,Female,Polk County,Oral Cavity and Pharynx,2.70,0.7352
White,2008-2012,Male and Female,Polk County,Oral Cavity and Pharynx,12.20,
Black,2008-2012,Male and Female,Polk County,Oral Cavity and Pharynx,7.90,0.3436
American Indian/Alaska Native,2008-2012,Male and Female,Polk County,Oral Cavity and Pharynx,0.00,1.0000
Asian or Pacific Islander,2008-2012,Male and Female,Polk County,Oral Cavity and Pharynx,5.50,0.2224
Hispanic,2008-2012,Male and Female,Polk County,Oral Cavity and Pharynx,4.30,0.1203
White,2008-2012,Male,Polk County,Oral Cavity and Pharynx,18.00,
Black,2008-2012,Male,Polk County,Oral Cavity and Pharynx,13.30,0.6572
American Indian/Alaska Native,2008-2012,Male,Polk County,Oral Cavity and Pharynx,0.00,1.0000
Asian or Pacific Islander,2008-2012,Male,Polk County,Oral Cavity and Pharynx,8.90,0.5301
Hispanic,2008-2012,Male,Polk County,Oral Cavity and Pharynx,6.90,0.3129
White,2008-2012,Female,Polk County,Oral Cavity and Pharynx,7.20,
Black,2008-2012,Female,Polk County,Oral Cavity and Pharynx,3.00,0.4123
American Indian/Alaska Native,2008-2012,Female,Polk County,Oral Cavity and Pharynx,0.00,1.0000
Asian or Pacific Islander,2008-2012,Female,Polk County,Oral Cavity and Pharynx,2.70,0.6592
Hispanic,2008-2012,Female,Polk County,Oral Cavity and Pharynx,2.10,0.4892
White,2013-2017,Male and Female,Polk County,Oral Cavity and Pharynx,12.40,
Black,2013-2017,Male and Female,Polk County,Oral Cavity and Pharynx,9.50,0.5314
American Indian/Alaska Native,2013-2017,Male and Female,Polk County,Oral Cavity and Pharynx,42.30,0.5105
Asian or Pacific Islander,2013-2017,Male and Female,Polk County,Oral Cavity and Pharynx,14.10,0.8649
Hispanic,2013-2017,Male and Female,Polk County,Oral Cavity and Pharynx,2.80,0.0194
White,2013-2017,Male,Polk County,Oral Cavity and Pharynx,20.20,
Black,2013-2017,Male,Polk County,Oral Cavity and Pharynx,12.40,0.3533
American Indian/Alaska Native,2013-2017,Male,Polk County,Oral Cavity and Pharynx,114.20,0.3257
Asian or Pacific Islander,2013-2017,Male,Polk County,Oral Cavity and Pharynx,20.70,1.0000
Hispanic,2013-2017,Male,Polk County,Oral Cavity and Pharynx,0.60,0.0139
White,2013-2017,Female,Polk County,Oral Cavity and Pharynx,5.80,
Black,2013-2017,Female,Polk County,Oral Cavity and Pharynx,5.70,1.0000
American Indian/Alaska Native,2013-2017,Female,Polk County,Oral Cavity and Pharynx,0.00,1.0000
Asian or Pacific Islander,2013-2017,Female,Polk County,Oral Cavity and Pharynx,9.10,0.7080
Hispanic,2013-2017,Female,Polk County,Oral Cavity and Pharynx,5.10,1.0000
White,2018-2022,Male and Female,Polk County,Oral Cavity and Pharynx,15.30,
Black,2018-2022,Male and Female,Polk County,Oral Cavity and Pharynx,16.60,0.8402
American Indian/Alaska Native,2018-2022,Male and Female,Polk County,Oral Cavity and Pharynx,0.00,0.9382
Asian or Pacific Islander,2018-2022,Male and Female,Polk County,Oral Cavity and Pharynx,16.30,0.9244
Hispanic,2018-2022,Male and Female,Polk County,Oral Cavity and Pharynx,11.10,0.4538
White,2018-2022,Male,Polk County,Oral Cavity and Pharynx,24.70,
Black,2018-2022,Male,Polk County,Oral Cavity and Pharynx,27.70,0.8593
American Indian/Alaska Native,2018-2022,Male,Polk County,Oral Cavity and Pharynx,0.00,1.0000
Asian or Pacific Islander,2018-2022,Male,Polk County,Oral Cavity and Pharynx,23.40,1.0000
Hispanic,2018-2022,Male,Polk County,Oral Cavity and Pharynx,8.60,0.0407
White,2018-2022,Female,Polk County,Oral Cavity and Pharynx,7.20,
Black,2018-2022,Female,Polk County,Oral Cavity and Pharynx,8.50,0.8907
American Indian/Alaska Native,2018-2022,Female,Polk County,Oral Cavity and Pharynx,0.00,1.0000
Asian or Pacific Islander,2018-2022,Female,Polk County,Oral Cavity and Pharynx,11.40,0.4672
Hispanic,2018-2022,Female,Polk County,Oral Cavity and Pharynx,13.20,0.4393
White,2003-2007,Male and Female,Not Polk,Oral Cavity and Pharynx,11.30,
Black,2003-2007,Male and Female,Not Polk,Oral Cavity and Pharynx,14.60,0.3054
American Indian/Alaska Native,2003-2007,Male and Female,Not Polk,Oral Cavity and Pharynx,5.70,0.6930
Asian or Pacific Islander,2003-2007,Male and Female,Not Polk,Oral Cavity and Pharynx,6.70,0.3747
Hispanic,2003-2007,Male and Female,Not Polk,Oral Cavity and Pharynx,3.80,0.0056
White,2003-2007,Male,Not Polk,Oral Cavity and Pharynx,17.30,
Black,2003-2007,Male,Not Polk,Oral Cavity and Pharynx,23.80,0.3079
American Indian/Alaska Native,2003-2007,Male,Not Polk,Oral Cavity and Pharynx,6.10,0.7453
Asian or Pacific Islander,2003-2007,Male,Not Polk,Oral Cavity and Pharynx,13.40,0.7922
Hispanic,2003-2007,Male,Not Polk,Oral Cavity and Pharynx,5.80,0.0223
White,2003-2007,Female,Not Polk,Oral Cavity and Pharynx,6.20,
Black,2003-2007,Female,Not Polk,Oral Cavity and Pharynx,6.40,1.0000
American Indian/Alaska Native,2003-2007,Female,Not Polk,Oral Cavity and Pharynx,5.40,1.0000
Asian or Pacific Islander,2003-2007,Female,Not Polk,Oral Cavity and Pharynx,2.50,0.5909
Hispanic,2003-2007,Female,Not Polk,Oral Cavity and Pharynx,1.70,0.1352
White,2008-2012,Male and Female,Not Polk,Oral Cavity and Pharynx,12.20,
Black,2008-2012,Male and Female,Not Polk,Oral Cavity and Pharynx,9.00,0.2233
American Indian/Alaska Native,2008-2012,Male and Female,Not Polk,Oral Cavity and Pharynx,14.90,0.8129
Asian or Pacific Islander,2008-2012,Male and Female,Not Polk,Oral Cavity and Pharynx,4.10,0.0108
Hispanic,2008-2012,Male and Female,Not Polk,Oral Cavity and Pharynx,2.90,0.0000
White,2008-2012,Male,Not Polk,Oral Cavity and Pharynx,18.80,
Black,2008-2012,Male,Not Polk,Oral Cavity and Pharynx,11.30,0.0757
American Indian/Alaska Native,2008-2012,Male,Not Polk,Oral Cavity and Pharynx,20.40,1.0000
Asian or Pacific Islander,2008-2012,Male,Not Polk,Oral Cavity and Pharynx,7.80,0.1256
Hispanic,2008-2012,Male,Not Polk,Oral Cavity and Pharynx,4.20,0.0001
White,2008-2012,Female,Not Polk,Oral Cavity and Pharynx,6.50,
Black,2008-2012,Female,Not Polk,Oral Cavity and Pharynx,5.30,0.8076
American Indian/Alaska Native,2008-2012,Female,Not Polk,Oral Cavity and Pharynx,9.20,1.0000
Asian or Pacific Islander,2008-2012,Female,Not Polk,Oral Cavity and Pharynx,1.30,0.1753
Hispanic,2008-2012,Female,Not Polk,Oral Cavity and Pharynx,1.60,0.0147
White,2013-2017,Male and Female,Not Polk,Oral Cavity and Pharynx,13.80,
Black,2013-2017,Male and Female,Not Polk,Oral Cavity and Pharynx,10.40,0.1958
American Indian/Alaska Native,2013-2017,Male and Female,Not Polk,Oral Cavity and Pharynx,7.90,0.4869
Asian or Pacific Islander,2013-2017,Male and Female,Not Polk,Oral Cavity and Pharynx,11.30,0.5010
Hispanic,2013-2017,Male and Female,Not Polk,Oral Cavity and Pharynx,8.00,0.0127
White,2013-2017,Male,Not Polk,Oral Cavity and Pharynx,20.40,
Black,2013-2017,Male,Not Polk,Oral Cavity and Pharynx,16.00,0.3832
American Indian/Alaska Native,2013-2017,Male,Not Polk,Oral Cavity and Pharynx,12.50,0.7521
Asian or Pacific Islander,2013-2017,Male,Not Polk,Oral Cavity and Pharynx,14.00,0.3407
Hispanic,2013-2017,Male,Not Polk,Oral Cavity and Pharynx,10.40,0.0113
White,2013-2017,Female,Not Polk,Oral Cavity and Pharynx,7.60,
Black,2013-2017,Female,Not Polk,Oral Cavity and Pharynx,5.00,0.3783
American Indian/Alaska Native,2013-2017,Female,Not Polk,Oral Cavity and Pharynx,3.50,0.9389
Asian or Pacific Islander,2013-2017,Female,Not Polk,Oral Cavity and Pharynx,9.20,0.7388
Hispanic,2013-2017,Female,Not Polk,Oral Cavity and Pharynx,5.60,0.4855
White,2018-2022,Male and Female,Not Polk,Oral Cavity and Pharynx,14.80,
Black,2018-2022,Male and Female,Not Polk,Oral Cavity and Pharynx,7.80,0.0009
American Indian/Alaska Native,2018-2022,Male and Female,Not Polk,Oral Cavity and Pharynx,19.10,0.6285
Asian or Pacific Islander,2018-2022,Male and Female,Not Polk,Oral Cavity and Pharynx,12.40,0.4006
Hispanic,2018-2022,Male and Female,Not Polk,Oral Cavity and Pharynx,6.50,0.0000
White,2018-2022,Male,Not Polk,Oral Cavity and Pharynx,22.20,
Black,2018-2022,Male,Not Polk,Oral Cavity and Pharynx,12.20,0.0109
American Indian/Alaska Native,2018-2022,Male,Not Polk,Oral Cavity and Pharynx,40.10,0.2586
Asian or Pacific Islander,2018-2022,Male,Not Polk,Oral Cavity and Pharynx,18.20,0.4855
Hispanic,2018-2022,Male,Not Polk,Oral Cavity and Pharynx,10.60,0.0007
White,2018-2022,Female,Not Polk,Oral Cavity and Pharynx,8.00,
Black,2018-2022,Female,Not Polk,Oral Cavity and Pharynx,3.30,0.0289
American Indian/Alaska Native,2018-2022,Female,Not Polk,Oral Cavity and Pharynx,2.70,0.6903
Asian or Pacific Islander,2018-2022,Female,Not Polk,Oral Cavity and Pharynx,7.10,0.8970
Hispanic,2018-2022,Female,Not Polk,Oral Cavity and Pharynx,2.40,0.0025
White,2003-2007,Male and Female,Polk County,Digestive System,36.00,
Black,2003-2007,Male and Female,Polk County,Digestive System,70.50,0.0001
American Indian/Alaska Native,2003-2007,Male and Female,Polk County,Digestive System,0.00,0.5389
Asian or Pacific Islander,2003-2007,Male and Female,Polk County,Digestive System,78.30,0.0050
Hispanic,2003-2007,Male and Female,Polk County,Digestive System,49.30,0.3297
White,2003-2007,Male,Polk County,Digestive System,48.50,
Black,2003-2007,Male,Polk County,Digestive System,104.50,0.0018
American Indian/Alaska Native,2003-2007,Male,Polk County,Digestive System,0.00,0.7538
Asian or Pacific Islander,2003-2007,Male,Polk County,Digestive System,128.10,0.0069
Hispanic,2003-2007,Male,Polk County,Digestive System,47.00,1.0000
White,2003-2007,Female,Polk County,Digestive System,27.10,
Black,2003-2007,Female,Polk County,Digestive System,48.80,0.0356
American Indian/Alaska Native,2003-2007,Female,Polk County,Digestive System,0.00,1.0000
Asian or Pacific Islander,2003-2007,Female,Polk County,Digestive System,43.90,0.3752
Hispanic,2003-2007,Female,Polk County,Digestive System,47.50,0.2404
White,2008-2012,Male and Female,Polk County,Digestive System,37.90,
Black,2008-2012,Male and Female,Polk County,Digestive System,62.00,0.0017
American Indian/Alaska Native,2008-2012,Male and Female,Polk County,Digestive System,0.00,0.4401
Asian or Pacific Islander,2008-2012,Male and Female,Polk County,Digestive System,51.70,0.2764
Hispanic,2008-2012,Male and Female,Polk County,Digestive System,65.50,0.0254
White,2008-2012,Male,Polk County,Digestive System,51.50,
Black,2008-2012,Male,Polk County,Digestive System,82.50,0.0237
American Indian/Alaska Native,2008-2012,Male,Polk County,Digestive System,0.00,0.7099
Asian or Pacific Islander,2008-2012,Male,Polk County,Digestive System,65.70,0.5178
Hispanic,2008-2012,Male,Polk County,Digestive System,92.80,0.0695
White,2008-2012,Female,Polk County,Digestive System,27.40,
Black,2008-2012,Female,Polk County,Digestive System,43.00,0.0801
American Indian/Alaska Native,2008-2012,Female,Polk County,Digestive System,0.00,1.0000
Asian or Pacific Islander,2008-2012,Female,Polk County,Digestive System,39.00,0.5234
Hispanic,2008-2012,Female,Polk County,Digestive System,42.90,0.2914
White,2013-2017,Male and Female,Polk County,Digestive System,40.20,
Black,2013-2017,Male and Female,Polk County,Digestive System,72.80,0.0001
American Indian/Alaska Native,2013-2017,Male and Female,Polk County,Digestive System,54.00,0.7740
Asian or Pacific Islander,2013-2017,Male and Female,Polk County,Digestive System,79.10,0.0007
Hispanic,2013-2017,Male and Female,Polk County,Digestive System,62.00,0.0398
White,2013-2017,Male,Polk County,Digestive System,50.90,
Black,2013-2017,Male,Polk County,Digestive System,90.50,0.0067
American Indian/Alaska Native,2013-2017,Male,Polk County,Digestive System,92.90,0.6002
Asian or Pacific Islander,2013-2017,Male,Polk County,Digestive System,85.70,0.0499
Hispanic,2013-2017,Male,Polk County,Digestive System,83.00,0.0678
White,2013-2017,Female,Polk County,Digestive System,31.50,
Black,2013-2017,Female,Polk County,Digestive System,55.00,0.0203
American Indian/Alaska Native,2013-2017,Female,Polk County,Digestive System,26.30,1.0000
Asian or Pacific Islander,2013-2017,Female,Polk County,Digestive System,69.60,0.0098
Hispanic,2013-2017,Female,Polk County,Digestive System,41.30,0.5127
White,2018-2022,Male and Female,Polk County,Digestive System,42.90,
Black,2018-2022,Male and Female,Polk County,Digestive System,79.40,0.0000
American Indian/Alaska Native,2018-2022,Male and Female,Polk County,Digestive System,174.50,0.0330
Asian or Pacific Islander,2018-2022,Male and Female,Polk County,Digestive System,71.20,0.0086
Hispanic,2018-2022,Male and Female,Polk County,Digestive System,57.10,0.1469
White,2018-2022,Male,Polk County,Digestive System,53.80,
Black,2018-2022,Male,Polk County,Digestive System,144.10,0.0000
American Indian/Alaska Native,2018-2022,Male,Polk County,Digestive System,351.90,0.0196
Asian or Pacific Islander,2018-2022,Male,Polk County,Digestive System,117.10,0.0020
Hispanic,2018-2022,Male,Polk County,Digestive System,71.60,0.3250
White,2018-2022,Female,Polk County,Digestive System,34.10,
Black,2018-2022,Female,Polk County,Digestive System,39.80,0.5514
American Indian/Alaska Native,2018-2022,Female,Polk County,Digestive System,48.30,1.0000
Asian or Pacific Islander,2018-2022,Female,Polk County,Digestive System,37.40,0.8651
Hispanic,2018-2022,Female,Polk County,Digestive System,48.20,0.2445
White,2003-2007,Male and Female,Not Polk,Digestive System,33.90,
Black,2003-2007,Male and Female,Not Polk,Digestive System,52.80,0.0012
American Indian/Alaska Native,2003-2007,Male and Female,Not Polk,Digestive System,84.00,0.0173
Asian or Pacific Islander,2003-2007,Male and Female,Not Polk,Digestive System,46.20,0.1117
Hispanic,2003-2007,Male and Female,Not Polk,Digestive System,40.00,0.2703
White,2003-2007,Male,Not Polk,Digestive System,43.60,
Black,2003-2007,Male,Not Polk,Digestive System,53.40,0.2992
American Indian/Alaska Native,2003-2007,Male,Not Polk,Digestive System,80.30,0.2678
Asian or Pacific Islander,2003-2007,Male,Not Polk,Digestive System,80.90,0.0114
Hispanic,2003-2007,Male,Not Polk,Digestive System,52.80,0.3361
White,2003-2007,Female,Not Polk,Digestive System,26.10,
Black,2003-2007,Female,Not Polk,Digestive System,48.40,0.0021
American Indian/Alaska Native,2003-2007,Female,Not Polk,Digestive System,67.80,0.0749
Asian or Pacific Islander,2003-2007,Female,Not Polk,Digestive System,21.10,0.6699
Hispanic,2003-2007,Female,Not Polk,Digestive System,28.70,0.7356
White,2008-2012,Male and Female,Not Polk,Digestive System,36.50,
Black,2008-2012,Male and Female,Not Polk,Digestive System,58.50,0.0001
American Indian/Alaska Native,2008-2012,Male and Female,Not Polk,Digestive System,69.40,0.0171
Asian or Pacific Islander,2008-2012,Male and Female,Not Polk,Digestive System,76.00,0.0000
Hispanic,2008-2012,Male and Female,Not Polk,Digestive System,33.10,0.4729
White,2008-2012,Male,Not Polk,Digestive System,46.90,
Black,2008-2012,Male,Not Polk,Digestive System,74.00,0.0051
American Indian/Alaska Native,2008-2012,Male,Not Polk,Digestive System,94.10,0.0454
Asian or Pacific Islander,2008-2012,Male,Not Polk,Digestive System,89.20,0.0033
Hispanic,2008-2012,Male,Not Polk,Digestive System,43.80,0.7302
White,2008-2012,Female,Not Polk,Digestive System,27.70,
Black,2008-2012,Female,Not Polk,Digestive System,45.40,0.0066
American Indian/Alaska Native,2008-2012,Female,Not Polk,Digestive System,47.10,0.2621
Asian or Pacific Islander,2008-2012,Female,Not Polk,Digestive System,64.10,0.0006
Hispanic,2008-2012,Female,Not Polk,Digestive System,24.60,0.5957
White,2013-2017,Male and Female,Not Polk,Digestive System,39.80,
Black,2013-2017,Male and Female,Not Polk,Digestive System,63.80,0.0000
American Indian/Alaska Native,2013-2017,Male and Female,Not Polk,Digestive System,50.30,0.3527
Asian or Pacific Islander,2013-2017,Male and Female,Not Polk,Digestive System,53.20,0.0370
Hispanic,2013-2017,Male and Female,Not Polk,Digestive System,36.00,0.3729
White,2013-2017,Male,Not Polk,Digestive System,50.80,
Black,2013-2017,Male,Not Polk,Digestive System,76.60,0.0018
American Indian/Alaska Native,2013-2017,Male,Not Polk,Digestive System,67.10,0.4200
Asian or Pacific Islander,2013-2017,Male,Not Polk,Digestive System,61.10,0.3389
Hispanic,2013-2017,Male,Not Polk,Digestive System,47.40,0.6433
White,2013-2017,Female,Not Polk,Digestive System,30.20,
Black,2013-2017,Female,Not Polk,Digestive System,52.40,0.0002
American Indian/Alaska Native,2013-2017,Female,Not Polk,Digestive System,35.90,0.7147
Asian or Pacific Islander,2013-2017,Female,Not Polk,Digestive System,45.80,0.0500
Hispanic,2013-2017,Female,Not Polk,Digestive System,25.00,0.2994
White,2018-2022,Male and Female,Not Polk,Digestive System,40.80,
Black,2018-2022,Male and Female,Not Polk,Digestive System,61.00,0.0000
American Indian/Alaska Native,2018-2022,Male and Female,Not Polk,Digestive System,66.40,0.0169
Asian or Pacific Islander,2018-2022,Male and Female,Not Polk,Digestive System,47.40,0.2091
Hispanic,2018-2022,Male and Female,Not Polk,Digestive System,35.30,0.1288
White,2018-2022,Male,Not Polk,Digestive System,51.30,
Black,2018-2022,Male,Not Polk,Digestive System,77.30,0.0003
American Indian/Alaska Native,2018-2022,Male,Not Polk,Digestive System,81.40,0.1010
Asian or Pacific Islander,2018-2022,Male,Not Polk,Digestive System,61.00,0.3252
Hispanic,2018-2022,Male,Not Polk,Digestive System,41.40,0.0940
White,2018-2022,Female,Not Polk,Digestive System,31.50,
Black,2018-2022,Female,Not Polk,Digestive System,43.00,0.0413
American Indian/Alaska Native,2018-2022,Female,Not Polk,Digestive System,54.10,0.0876
Asian or Pacific Islander,2018-2022,Female,Not Polk,Digestive System,38.20,0.2901
Hispanic,2018-2022,Female,Not Polk,Digestive System,29.20,0.6242
White,2003-2007,Male and Female,Polk County,Colon and Rectum,52.20,
Black,2003-2007,Male and Female,Polk County,Colon and Rectum,79.50,0.0087
American Indian/Alaska Native,2003-2007,Male and Female,Polk County,Colon and Rectum,15.30,0.6155
Asian or Pacific Islander,2003-2007,Male and Female,Polk County,Colon and Rectum,26.50,0.0656
Hispanic,2003-2007,Male and Female,Polk County,Colon and Rectum,30.50,0.1330
White,2003-2007,Male,Polk County,Colon and Rectum,61.30,
Black,2003-2007,Male,Polk County,Colon and Rectum,98.50,0.0767
American Indian/Alaska Native,2003-2007,Male,Polk County,Colon and Rectum,0.00,0.6313
Asian or Pacific Islander,2003-2007,Male,Polk County,Colon and Rectum,37.70,0.4326
Hispanic,2003-2007,Male,Polk County,Colon and Rectum,42.30,0.4848
White,2003-2007,Female,Polk County,Colon and Rectum,45.50,
Black,2003-2007,Female,Polk County,Colon and Rectum,73.80,0.0305
American Indian/Alaska Native,2003-2007,Female,Polk County,Colon and Rectum,32.50,1.0000
Asian or Pacific Islander,2003-2007,Female,Polk County,Colon and Rectum,23.30,0.1783
Hispanic,2003-2007,Female,Polk County,Colon and Rectum,16.70,0.1041
White,2008-2012,Male and Female,Polk County,Colon and Rectum,44.30,
Black,2008-2012,Male and Female,Polk County,Colon and Rectum,62.70,0.0360
American Indian/Alaska Native,2008-2012,Male and Female,Polk County,Colon and Rectum,0.00,0.3540
Asian or Pacific Islander,2008-2012,Male and Female,Polk County,Colon and Rectum,23.90,0.0304
Hispanic,2008-2012,Male and Female,Polk County,Colon and Rectum,18.70,0.0096
White,2008-2012,Male,Polk County,Colon and Rectum,51.90,
Black,2008-2012,Male,Polk County,Colon and Rectum,68.20,0.3036
American Indian/Alaska Native,2008-2012,Male,Polk County,Colon and Rectum,0.00,0.7054
Asian or Pacific Islander,2008-2012,Male,Polk County,Colon and Rectum,41.00,0.6313
Hispanic,2008-2012,Male,Polk County,Colon and Rectum,20.10,0.0407
White,2008-2012,Female,Polk County,Colon and Rectum,38.90,
Black,2008-2012,Female,Polk County,Colon and Rectum,60.40,0.0515
American Indian/Alaska Native,2008-2012,Female,Polk County,Colon and Rectum,0.00,0.8194
Asian or Pacific Islander,2008-2012,Female,Polk County,Colon and Rectum,8.40,0.0041
Hispanic,2008-2012,Female,Polk County,Colon and Rectum,15.00,0.0659
White,2013-2017,Male and Female,Polk County,Colon and Rectum,43.10,
Black,2013-2017,Male and Female,Polk County,Colon and Rectum,57.10,0.1018
American Indian/Alaska Native,2013-2017,Male and Female,Polk County,Colon and Rectum,39.60,1.0000
Asian or Pacific Islander,2013-2017,Male and Female,Polk County,Colon and Rectum,53.60,0.3605
Hispanic,2013-2017,Male and Female,Polk County,Colon and Rectum,60.10,0.1900
White,2013-2017,Male,Polk County,Colon and Rectum,48.60,
Black,2013-2017,Male,Polk County,Colon and Rectum,61.20,0.4388
American Indian/Alaska Native,2013-2017,Male,Polk County,Colon and Rectum,46.70,1.0000
Asian or Pacific Islander,2013-2017,Male,Polk County,Colon and Rectum,69.00,0.3075
Hispanic,2013-2017,Male,Polk County,Colon and Rectum,73.80,0.2169
White,2013-2017,Female,Polk County,Colon and Rectum,38.20,
Black,2013-2017,Female,Polk County,Colon and Rectum,57.50,0.0720
American Indian/Alaska Native,2013-2017,Female,Polk County,Colon and Rectum,43.60,1.0000
Asian or Pacific Islander,2013-2017,Female,Polk County,Colon and Rectum,42.70,0.8123
Hispanic,2013-2017,Female,Polk County,Colon and Rectum,48.20,0.6201
White,2018-2022,Male and Female,Polk County,Colon and Rectum,36.70,
